Season,Matchday,Date,HomeTeam_norm,AwayTeam_norm,pred_key,y_true,y_pred_market,pH_mkt_pred,pD_mkt_pred,pA_mkt_pred,conf_maxprob,entropy,margin_top12,B365H,B365D,B365A,overround,odds_pick,p_pick,ev_pick,kelly_pick,bet_placed,correct,profit,cum_profit_season
2011,29,2012-03-20,barcelona,granada,2011|2012-03-20|barcelona|granada,H,H,0.8995624300396865,0.07265696550320545,0.027780604457107966,0.8995624300396865,0.3852723210936685,0.8269054645364811,1.05,13.0,34.0,1.0587157940099114,1.05,0.8995624300396865,-0.05545944845832913,0.0,1,1,0.050000000000000044,-32.6
2011,29,2012-03-20,osasuna,getafe,2011|2012-03-20|osasuna|getafe,D,H,0.4283464566929134,0.29448818897637796,0.2771653543307087,0.4283464566929134,1.0788208154107488,0.13385826771653542,2.2,3.2,3.4,1.0611631016042782,2.2,0.4283464566929134,-0.05763779527559054,0.0,1,0,-1.0,-33.6
2011,29,2012-03-21,ath madrid,ath bilbao,2011|2012-03-21|ath madrid|ath bilbao,H,H,0.5223880597014926,0.26865671641791045,0.208955223880597,0.5223880597014926,1.0194586431391142,0.25373134328358216,1.8,3.5,4.5,1.0634920634920635,1.8,0.5223880597014926,-0.05970149253731327,0.0,1,1,0.8,-32.8
2011,29,2012-03-21,sociedad,levante,2011|2012-03-21|sociedad|levante,A,H,0.47134935304990755,0.27726432532347506,0.2513863216266174,0.47134935304990755,1.0573036363512132,0.1940850277264325,2.0,3.4,3.75,1.0607843137254902,2.0,0.47134935304990755,-0.0573012939001849,0.0,1,0,-1.0,-33.8
2011,29,2012-03-21,sp gijon,mallorca,2011|2012-03-21|sp gijon|mallorca,A,H,0.39593908629441626,0.2899492385786802,0.3141116751269035,0.39593908629441626,1.0895504542285734,0.08182741116751274,2.38,3.25,3.0,1.0611937082525318,2.38,0.39593908629441626,-0.05766497461928932,0.0,1,0,-1.0,-34.8
2011,29,2012-03-21,valencia,zaragoza,2011|2012-03-21|valencia|zaragoza,A,H,0.7271285034373347,0.18759915388683238,0.0852723426758329,0.7271285034373347,0.7555707933509994,0.5395293495505024,1.29,5.0,11.0,1.0661028893587032,1.29,0.7271285034373347,-0.0620042305658382,0.0,1,0,-1.0,-35.8
2011,29,2012-03-21,villarreal,real madrid,2011|2012-03-21|villarreal|real madrid,D,A,0.11062590975254732,0.19796215429403205,0.6914119359534208,0.6914119359534208,0.8193338115261066,0.4934497816593887,8.5,4.75,1.36,1.0634674922600618,1.36,0.6914119359534208,-0.059679767103347686,0.0,1,0,-1.0,-36.8
2011,29,2012-03-22,betis,espanol,2011|2012-03-22|betis|espanol,D,H,0.4903728275762602,0.2754741472560756,0.23415302516766426,0.4903728275762602,1.0445314209612733,0.2148986803201846,1.91,3.4,4.0,1.0676778564829073,1.91,0.4903728275762602,-0.06338789932934302,0.0,1,0,-1.0,-37.8
2011,29,2012-03-22,malaga,vallecano,2011|2012-03-22|malaga|vallecano,H,H,0.5620082427875609,0.25028100412139376,0.1877107530910453,0.5620082427875609,0.9845454224650529,0.31172723866616714,1.67,3.75,5.0,1.0654690618762475,1.67,0.5620082427875609,-0.061446234544773326,0.0,1,1,0.6699999999999999,-37.129999999999995
2011,29,2012-03-22,santander,sevilla,2011|2012-03-22|santander|sevilla,A,A,0.29352734570998495,0.28901154039136984,0.41746111389864526,0.41746111389864526,1.0832269604763596,0.12393376818866031,3.2,3.25,2.25,1.0646367521367521,2.25,0.41746111389864526,-0.0607124937280481,0.0,1,1,1.25,-35.879999999999995
2011,30,2012-03-24,getafe,valencia,2011|2012-03-24|getafe|valencia,H,A,0.3353973168214654,0.2889576883384933,0.3756449948400413,0.3756449948400413,1.0929330525880538,0.04024767801857593,2.8,3.25,2.5,1.064835164835165,2.5,0.3756449948400413,-0.06088751289989669,0.0,1,0,-1.0,-36.879999999999995
2011,30,2012-03-24,mallorca,barcelona,2011|2012-03-24|mallorca|barcelona,A,A,0.07234631350069183,0.15675034591816564,0.7709033405811425,0.7709033405811425,0.6810597616450668,0.6141529946629769,13.0,6.0,1.22,1.0632618747372846,1.22,0.7709033405811425,-0.05949792449100616,0.0,1,1,0.21999999999999997,-36.66
2011,30,2012-03-24,real madrid,sociedad,2011|2012-03-24|real madrid|sociedad,H,H,0.8367784031478807,0.11819494944463814,0.04502664740748119,0.8367784031478807,0.5411115639049566,0.7185834537032425,1.13,8.0,21.0,1.057574799831437,1.13,0.8367784031478807,-0.054440404442894955,0.0,1,1,0.1299999999999999,-36.53
